"Pathways"	"Fourth Level"	"Third Level"	"Second Level"	"First Level"
PWY-3661	Glycine-Betaine-Degradation	AMINE-DEG	Degradation	Pathways
PWY0-1415	Heme-b-Biosynthesis // Super-Pathways	HEME-SYN // Pathways	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis // FRAMES
PWY-7139	LIGNAN-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-723	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY4FS-8	PhosphatidylglycerolBiosynthesis // Super-Pathways	Phospholipid-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
TRYPTOPHAN-DEGRADATION-1	Super-Pathways // TRYPTOPHAN-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation
BRANCHED-CHAIN-AA-SYN-PWY	Amino-Acid-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-1781	Beta-Alanine-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation
GLUCARGALACTSUPER-PWY	Super-Pathways	Pathways	Generalized-Reactions	FRAMES
METSYN-PWY	Methionine-De-novo-Biosynthesis // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES
PWY-2721	Trehalose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation
PANTOSYN-PWY	CoA-Biosynthesis // Super-Pathways // Vitamin-Biosynthesis	Carriers-Biosynthesis // Pathways // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Generalized-Reactions // Biosynthesis	Biosynthesis // FRAMES // Pathways
PWY-5409	Divinyl-Ether-Biosynthesis	FATTY-ACID-DERIVATIVE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-2055	ISOFLAVONOID-SYN // Super-Pathways	FLAVONOID-SYN // Pathways	PHENYLPROPANOID-SYN // Generalized-Reactions	SECONDARY-METABOLITE-BIOSYNTHESIS // FRAMES
PWY-5044	Purine-Degradation // Super-Pathways	NUCLEO-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
PWY-5181	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways
PWY-6336	Protocatechuate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-5328	METHIONINE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES
PWY-5478	Super-Pathways // TANNIN-SYN	Pathways // PHENYLPROPANOID-SYN	Generalized-Reactions // SECONDARY-METABOLITE-BIOSYNTHESIS	FRAMES // Biosynthesis
PWY-7069	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5705	Allantoin-degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
PWY-5896	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES
PWY0-1182	Trehalose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation
PWY-7154	Ergosterol-Biosynthesis	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-6125	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-6277	AIR-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-8108	Glycine-Betaine-Degradation	AMINE-DEG	Degradation	Pathways
PWY-6415	Ascorbate-Biosynthesis // Super-Pathways	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7954	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7410	HORMONE-SYN // MONOTERPENOID-SYN	Biosynthesis // Terpenoid-Biosynthesis	Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Generalized-Reactions // Biosynthesis
PWY-4021	Betaine-Biosynthesis // MISCELLANEOUS-DEG	Organic-solutes-Biosynthesis // Polyamine-Biosynthesis // Amino-Acid-Degradation	Metabolic-Regulators // Biosynthesis // Degradation	Biosynthesis // Pathways
PWY-6579	Guanine-Guanosine-Salvage // Super-Pathways	Purine-Nucleotides-Salvage // Pathways	PUR-NUC-SYN // Generalized-Reactions	Nucleotide-Biosynthesis // FRAMES
PWY-6886	Alcohol-Biosynthesis // Super-Pathways	Fermentation // Pathways	Energy-Metabolism // Generalized-Reactions	Pathways // FRAMES
PWY-7000	Antibiotic-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-7208	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
BETA-ALA-DEGRADATION-I-PWY	Beta-Alanine-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation
PWY-7323	GDP-Sugar-Biosynthesis // Super-Pathways	SUGAR-NUCLEOTIDES // Pathways	CARBO-BIOSYNTHESIS // Generalized-Reactions	Carbohydrates-Biosynthesis // FRAMES
GALACTCAT-PWY	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugar-Derivatives	Degradation // SECONDARY-METABOLITE-DEGRADATION	Pathways // Degradation
PWY-7476	Super-Pathways // TRITERPENOID-SYN	Pathways // Terpenoid-Biosynthesis	Generalized-Reactions // SECONDARY-METABOLITE-BIOSYNTHESIS	FRAMES // Biosynthesis
PWY-7490	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7933	Halogenated-Aromatics-Biosynthesis // Super-Pathways	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-5337	Oligosaccharides-Biosynthesis	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-2723	Trehalose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation
PWY0-381	GLYCEROL-DEG // Super-Pathways	Alcohol-Degradation // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
P222-PWY	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Sulfide-Oxidation	Energy-Metabolism // Sulfur-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation
PWY66-341	Sterol-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-5691	Urate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
ALL-CHORISMATE-PWY	Super-Pathways	Pathways	Generalized-Reactions	FRAMES
PWY0-541	Cyclopropane-fatty-acid-biosyn	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
URSIN-PWY	Polyamine-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
COBALSYN-PWY	B12-Salvage-From-Cobinamide // Super-Pathways	Cobamide-Salvage // Pathways	Cobalamin-Biosynthesis // Generalized-Reactions	Enzyme-Cofactor-Biosynthesis // FRAMES
GLUDEG-II-PWY	Acetyl-CoA-Butyrate // GLUTAMATE-DEG // Super-Pathways	Fermentation-to-Acids // Proteinogenic-Amino-Acids-Degradation // Pathways	Fermentation // Amino-Acid-Degradation // Generalized-Reactions	Energy-Metabolism // Degradation // FRAMES
PWY-7242	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugar-Derivatives	Degradation // SECONDARY-METABOLITE-DEGRADATION	Pathways // Degradation
TREDEGLOW-PWY	Trehalose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation
ORNARGDEG-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES
PHOSLIPSYN-PWY	Phospholipid-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-3661-1	Glycine-Betaine-Degradation	AMINE-DEG	Degradation	Pathways
PWY-3001	ISOLEUCINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-5062	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-8000	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5291	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-4502	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	PHYTOALEXIN-SYN // FLAVONOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // PHENYLPROPANOID-SYN	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5347	Methionine-De-novo-Biosynthesis // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES
PWY-5184	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways
PWY-5505	GLUTAMATE-SYN // GLUTAMINE-SYN // Metabolic-Clusters // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-5159	Hydroxyprolines-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation
PWY-5823	CDP-Sugar-Biosynthesis // Super-Pathways	SUGAR-NUCLEOTIDES // Pathways	CARBO-BIOSYNTHESIS // Generalized-Reactions	Carbohydrates-Biosynthesis // FRAMES
PWY0-1306	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugar-Derivatives	Degradation // SECONDARY-METABOLITE-DEGRADATION	Pathways // Degradation
PWY-5899	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES
PWY-8148	NAD-Metabolism	Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis
PWY-6142	Gluconeogenesis // Super-Pathways	CARBO-BIOSYNTHESIS // Pathways	Carbohydrates-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7995	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6292	CYSTEINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-2722	Trehalose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation
PWY-6467	KDO-Lipid-IV-Transfer // Super-Pathways	Lipopolysaccharide-Biosynthesis // Pathways	Cell-Structure-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7740	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6595	Guanosine-Nucleotides-Degradation // Super-Pathways	Purine-Degradation // Pathways	NUCLEO-DEG // Generalized-Reactions	Degradation // FRAMES
PWY-7849	Urate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-8024	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6897	Super-Pathways // Thiamin-Salvage	Pathways // Thiamine-Biosynthesis	Generalized-Reactions // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	FRAMES // Cofactor-Biosynthesis
PWY-7021	Antibiotic-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-5827	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7267	ANTHOCYANIN-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7566	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugar-Derivatives	Degradation // SECONDARY-METABOLITE-DEGRADATION	Pathways // Degradation
PWY-6933	Seleno-Amino-Acid-Detoxification	Detoxification // Selenium-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation
PWY-7341	Super-Pathways // TROPANE-ALKALOIDS	Pathways // ALKALOIDS-SYN	Generalized-Reactions // N-CONTAINING-SECONDARY-CMPD-SYN	FRAMES // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7645	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-7527	Methionine-Salvage // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES
PWY-7218	Storage-Compounds-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-8060	2-Deoxy-D-Ribose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation
PWY0-845	Super-Pathways // Vitamin-B6-Biosynthesis	Pathways // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis	FRAMES // Biosynthesis
PWY-8017	Super-Pathways // TRYPTOPHAN-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation
PWY-7694	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5990	CYANOGENIC-GLUCOSIDE-SYN	N-CONTAINING-GLUCOSIDE-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY66-5	Sterol-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
ANAEROFRUCAT-PWY	Fermentation-to-Lactate // Super-Pathways	Fermentation-to-Acids // Pathways	Fermentation // Generalized-Reactions	Energy-Metabolism // FRAMES
DENOVOPURINE2-PWY	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
CITRULLINE-DEG-PWY	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation	Pathways
GLYCOLYSIS-E-D	Energy-Metabolism // Super-Pathways	Pathways	Generalized-Reactions	FRAMES
IDNCAT-PWY	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugar-Derivatives	Degradation // SECONDARY-METABOLITE-DEGRADATION	Pathways // Degradation
P142-PWY	Pyruvate-Acetate-Fermentation // Super-Pathways	Acetate-Formation // Pyruvate-Degradation // Pathways	CARBOXYLATES-DEG // Fermentation-to-Acids // Fermentation // Generalized-Reactions	Degradation // Fermentation // Energy-Metabolism // FRAMES
PWY-8058	2-Deoxy-D-Ribose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation
POLYAMINSYN3-PWY	Polyamine-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6116	Oligosaccharides-Biosynthesis	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-6853	Ethylene-Biosynthesis	Plant-Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis
PWY-7468	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7927	Sulfide-Oxidation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation
PWY-5096	Pyruvate-Acetate-Fermentation // Super-Pathways	Acetate-Formation // Pyruvate-Degradation // Pathways	CARBOXYLATES-DEG // Fermentation-to-Acids // Fermentation // Generalized-Reactions	Degradation // Fermentation // Energy-Metabolism // FRAMES
PWY-3481	Amino-Acid-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
HYDROXYPRODEG-PWY	Hydroxyprolines-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation
PWY-5966-1	Fatty-Acid-Biosyn-Initiation	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-5266	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-5537	Pyruvate-Acetate-Fermentation // Super-Pathways	Acetate-Formation // Pyruvate-Degradation // Pathways	CARBOXYLATES-DEG // Fermentation-to-Acids // Fermentation // Generalized-Reactions	Degradation // Fermentation // Energy-Metabolism // FRAMES
PWY-5415	Catechol-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
PWY-2221	Entner-Duodoroff-Pathways	Energy-Metabolism // Sugars-And-Polysaccharides-Degradation	Pathways // Carbohydrates-Degradation	Generalized-Reactions // Degradation
PWY-7516	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugar-Derivatives	Degradation // SECONDARY-METABOLITE-DEGRADATION	Pathways // Degradation
PWY-8096	Lower-Ligand-Biosynthesis	Cobamide-De-Novo-Biosynthesis	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis
PWY-5845	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES
PWY-6572	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-5918	Heme-b-Biosynthesis // Super-Pathways	HEME-SYN // Pathways	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis // FRAMES
PWY-6151	S-adenosyl-L-methionine-cycle // Super-Pathways	Methionine-Salvage // Pathways	METHIONINE-SYN // Generalized-Reactions	IND-AMINO-ACID-SYN // FRAMES
PWY-6309	Super-Pathways // TRYPTOPHAN-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation
PWY-7630	LIGNAN-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
P201-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6503	ALKALOIDS-SYN // Super-Pathways	N-CONTAINING-SECONDARY-CMPD-SYN // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES
PWY-6621	Salicylate-Biosynthesis // Super-Pathways	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-6937	Steroids-Degradation // Super-Pathways	Fatty-Acid-and-Lipid-Degradation // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
PWY-7394	Urate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-7084	ANAEROBIC-RESPIRATION // Ammonia-oxidation // Denitrification // Super-Pathways	Respiration // NITROGEN-DEG // Pathways	Energy-Metabolism // Noncarbon-Nutrients // Generalized-Reactions	Pathways // Degradation // FRAMES
PWY-7515	Hydroxyprolines-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation
NPGLUCAT-PWY	Entner-Duodoroff-Pathways	Energy-Metabolism // Sugars-And-Polysaccharides-Degradation	Pathways // Carbohydrates-Degradation	Generalized-Reactions // Degradation
PWY-7235	Super-Pathways // Ubiquinone-Biosynthesis	Pathways // Quinone-Biosynthesis	Generalized-Reactions // Electron-Carrier-Biosynthesis	FRAMES // Carriers-Biosynthesis
PWY-7373	Demethylmenaquinol-6-Biosynthesis // Super-Pathways	Demethylmenaquinone-Biosynthesis // Pathways	Quinone-Biosynthesis // Generalized-Reactions	Electron-Carrier-Biosynthesis // FRAMES
PWY-7668	CYCLOPEPTIDES	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7575	Antibiotic-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-6426	Uracil-Degradation	Pyrimidine-Base-Degradation	Pyrimidine-Degradation	NUCLEO-DEG
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY0-42	Methyl-Citrate-Cycle	Propionate-Degradation	CARBOXYLATES-DEG	Degradation
PWY18C3-14	DITERPENOID-SYN // Super-Pathways	Terpenoid-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7248	Pectin-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
SUCSYN-PWY	Sucrose-Biosynthesis // Super-Pathways	CARBO-BIOSYNTHESIS // Pathways	Carbohydrates-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-6440	SPERMINE-SPERMIDINE-DEG	AMINE-DEG	Degradation	Pathways
ARGDEGRAD-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES
PWY-6441	SPERMINE-SPERMIDINE-DEG	AMINE-DEG	Degradation	Pathways
PWY-5774	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
ENTBACSYN-PWY	Siderophores-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
ENTNER-DOUDOROFF-PWY	Entner-Duodoroff-Pathways	Energy-Metabolism // Sugars-And-Polysaccharides-Degradation	Pathways // Carbohydrates-Degradation	Generalized-Reactions // Degradation
PWY-8095	Lower-Ligand-Biosynthesis	Cobamide-De-Novo-Biosynthesis	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis
PWY-6931	Seleno-Amino-Acid-Detoxification	Detoxification // Selenium-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation
PWY-7756	Iso-bile-Acids-Biosynthesis	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-7644	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
HEXITOLDEGSUPER-PWY	SUGAR-ALCOHOLS-DEG // Super-Pathways	Sugar-Derivatives // Pathways	SECONDARY-METABOLITE-DEGRADATION // Generalized-Reactions	Degradation // FRAMES
PROPFERM-PWY	Acetate-Formation // Fermentation-to-propanoate // Super-Pathways	CARBOXYLATES-DEG // Fermentation-to-Acids // Pathways	Degradation // Fermentation // Generalized-Reactions	Pathways // Energy-Metabolism // FRAMES
P344-PWY	Acrylonitrile-Degradation // Super-Pathways	Other-Degradation // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
PWY-6069	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-3061	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-4041	Reductants // Super-Pathways	Electron-Carrier-Biosynthesis // Pathways	Carriers-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // FRAMES
PWY-5121	DITERPENOID-SYN // GGPP-Biosynthesis // Super-Pathways	Terpenoid-Biosynthesis // Polyprenyl-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis // Generalized-Reactions	Biosynthesis // Pathways // FRAMES
PWY-5304	Sulfur-Oxidation // Super-Pathways	Sulfur-Metabolism // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES
PWY-5747	Methyl-Citrate-Cycle	Propionate-Degradation	CARBOXYLATES-DEG	Degradation
PWY-2261	REACTIVE-OXYGEN-SPECIES-DEGRADATION	Detoxification	Pathways	Generalized-Reactions
PWY-3941	Beta-Alanine-Biosynthesis	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis
PWY-561	Energy-Metabolism // Super-Pathways	Pathways	Generalized-Reactions	FRAMES
PWY-5961	SECONDARY-METABOLITE-BIOSYNTHESIS // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY0-1471	Uracil-Degradation	Pyrimidine-Base-Degradation	Pyrimidine-Degradation	NUCLEO-DEG
PWY-7907	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6350	Phospholipid-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-7031	Oligosaccharides-Biosynthesis // Protein-Glycosylation	Carbohydrates-Biosynthesis // Glycan-Biosynthesis // Protein-Modification	Biosynthesis // Carbohydrates-Biosynthesis // Glycan-Pathways // Macromolecule-Modification	Pathways // Biosynthesis
PWY-6517	N-Acetylglucosamine-Degradation // Super-Pathways	AMINE-DEG // Sugar-Derivatives // Pathways	Degradation // SECONDARY-METABOLITE-DEGRADATION // Generalized-Reactions	Pathways // Degradation // FRAMES
PWY-6714	L-rhamnose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation
PWY-5285	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Sulfide-Oxidation	Energy-Metabolism // Sulfur-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation
PWY-6630	Super-Pathways // TYROSINE-SYN	Pathways // IND-AMINO-ACID-SYN	Generalized-Reactions // Amino-Acid-Biosynthesis	FRAMES // Biosynthesis
ILEUDEG-PWY	ISOLEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
